Invoice_No,Stock_Code,Description,Category,Quantity,Invoice_Date,Unit_Price,Customer_ID,Country,Total_Spend
INV-100040,SKU-109,Laptop Stand Aluminum,Accessories,2,2023-12-05 00:00:00,39.99,CUST-1488,Australia,79.98
INV-100041,SKU-101,Wireless Noise-Canceling Headphones,Audio,2,2023-06-30 00:00:00,149.99,CUST-1341,India,299.98
INV-100042,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,10,2023-10-15 00:00:00,49.99,CUST-1137,United States,499.9
INV-100043,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-07-06 00:00:00,49.99,CUST-1385,United States,49.99
INV-100044,SKU-103,Mechanical Gaming Keyboard,Peripherals,2,2023-05-18 00:00:00,89.5,CUST-1355,United States,179.0
INV-100045,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-05-10 00:00:00,149.99,CUST-1212,Germany,149.99
INV-100046,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-07-13 00:00:00,89.5,CUST-1066,Germany,89.5
INV-100047,SKU-102,Ergonomic Office Chair,Furniture,1,2023-11-12 00:00:00,229.0,CUST-1385,Canada,229.0
INV-100048,SKU-102,Ergonomic Office Chair,Furniture,1,2023-05-24 00:00:00,229.0,CUST-1277,Canada,229.0
INV-100049,SKU-109,Laptop Stand Aluminum,Accessories,2,2023-01-16 00:00:00,39.99,CUST-1427,United States,79.98
INV-100050,SKU-108,Portable Espresso Maker,Kitchen,1,2023-10-29 00:00:00,79.99,CUST-1277,United Kingdom,79.99
INV-100051,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-02-27 00:00:00,149.99,CUST-1463,Germany,149.99
INV-100052,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-09-02 00:00:00,24.99,CUST-1305,United Kingdom,24.99
INV-100053,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-04-17 00:00:00,149.99,CUST-1308,United Kingdom,149.99
INV-100054,SKU-101,Wireless Noise-Canceling Headphones,Audio,4,2023-03-29 00:00:00,149.99,CUST-1469,Germany,599.96
INV-100055,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-05-09 00:00:00,24.99,CUST-1240,United Kingdom,24.99
INV-100056,SKU-102,Ergonomic Office Chair,Furniture,2,2023-12-07 00:00:00,229.0,CUST-1069,Germany,458.0
INV-100057,SKU-103,Mechanical Gaming Keyboard,Peripherals,2,2023-01-04 00:00:00,89.5,CUST-1011,United Kingdom,179.0
INV-100058,SKU-109,Laptop Stand Aluminum,Accessories,2,2023-11-23 00:00:00,39.99,CUST-1412,Germany,79.98
INV-100059,SKU-102,Ergonomic Office Chair,Furniture,1,2024-02-14 00:00:00,229.0,CUST-1358,Germany,229.0
INV-100060,SKU-104,Stainless Steel Water Bottle,Lifestyle,3,2023-11-02 00:00:00,24.99,CUST-1392,United Kingdom,74.97
INV-100061,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-08-13 00:00:00,149.99,CUST-1126,Germany,149.99
INV-100062,SKU-102,Ergonomic Office Chair,Furniture,4,2023-12-14 00:00:00,229.0,CUST-1069,United States,916.0
INV-100063,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-11-17 00:00:00,59.99,CUST-1007,United States,59.99
INV-100064,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-06-30 00:00:00,49.99,CUST-1203,United States,49.99
INV-100065,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-01-21 00:00:00,149.99,CUST-1324,United Kingdom,149.99
INV-100066,SKU-107,Organic Cotton Throw Blanket,Home,2,2023-04-18 00:00:00,45.0,CUST-1230,United Kingdom,90.0
INV-100067,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2024-06-14 00:00:00,24.99,CUST-1248,India,24.99
INV-100068,SKU-106,USB-C Multiport Adapter,Accessories,1,2024-02-14 00:00:00,34.5,CUST-1475,United States,34.5
INV-100069,SKU-108,Portable Espresso Maker,Kitchen,1,2023-10-23 00:00:00,79.99,CUST-1200,United States,79.99
INV-100070,SKU-106,USB-C Multiport Adapter,Accessories,4,2023-06-20 00:00:00,34.5,CUST-1273,United States,138.0
INV-100071,SKU-102,Ergonomic Office Chair,Furniture,3,2023-11-27 00:00:00,229.0,CUST-1441,United States,687.0
INV-100072,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-05-07 00:00:00,149.99,CUST-1235,Canada,149.99
INV-100073,SKU-108,Portable Espresso Maker,Kitchen,2,2023-07-14 00:00:00,79.99,CUST-1358,United States,159.98
INV-100074,SKU-108,Portable Espresso Maker,Kitchen,1,2023-01-12 00:00:00,79.99,CUST-1465,United Kingdom,79.99
INV-100075,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-07-14 00:00:00,39.99,CUST-1486,Germany,39.99
INV-100076,SKU-106,USB-C Multiport Adapter,Accessories,4,2024-05-04 00:00:00,34.5,CUST-1076,United Kingdom,138.0
INV-100077,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-07-01 00:00:00,149.99,CUST-1477,Australia,149.99
INV-100078,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-11-12 00:00:00,39.99,CUST-1263,United States,39.99
INV-100079,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-01-30 00:00:00,89.5,CUST-1150,United States,89.5
INV-100080,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-04-06 00:00:00,34.5,CUST-1256,Australia,34.5
INV-100081,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-01-16 00:00:00,49.99,CUST-1499,Australia,49.99
INV-100082,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-03-19 00:00:00,49.99,CUST-1264,United States,49.99
INV-100083,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-10-25 00:00:00,39.99,CUST-1192,United States,39.99
INV-100084,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-12-27 00:00:00,89.5,,United States,89.5
INV-100085,SKU-105,Smart Fitness Tracker Band,Wearables,1,2024-01-09 00:00:00,59.99,CUST-1139,United States,59.99
INV-100086,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-10-30 00:00:00,59.99,,India,59.99
INV-100087,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-02-25 00:00:00,49.99,CUST-1069,United Kingdom,49.99
INV-100088,SKU-107,Organic Cotton Throw Blanket,Home,2,2023-09-03 00:00:00,45.0,CUST-1069,United States,90.0
INV-100089,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-08-25 00:00:00,24.99,CUST-1081,Australia,24.99
INV-100090,SKU-104,Stainless Steel Water Bottle,Lifestyle,2,2024-06-17 00:00:00,24.99,CUST-1070,United Kingdom,49.98
INV-100091,SKU-107,Organic Cotton Throw Blanket,Home,2,2023-07-04 00:00:00,45.0,CUST-1366,United States,90.0
INV-100092,SKU-109,Laptop Stand Aluminum,Accessories,2,2024-04-12 00:00:00,39.99,CUST-1112,France,79.98
INV-100093,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-12-29 00:00:00,24.99,CUST-1199,Canada,24.99
INV-100094,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-10-10 00:00:00,24.99,CUST-1475,Canada,24.99
INV-100095,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-12-02 00:00:00,34.5,CUST-1261,United Kingdom,34.5
INV-100096,SKU-106,USB-C Multiport Adapter,Accessories,2,2023-06-11 00:00:00,34.5,CUST-1383,Canada,69.0
INV-100097,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-06-09 00:00:00,45.0,CUST-1103,United States,45.0
INV-100098,SKU-101,Wireless Noise-Canceling Headphones,Audio,3,2024-04-18 00:00:00,149.99,CUST-1115,United Kingdom,449.97
INV-100099,SKU-103,Mechanical Gaming Keyboard,Peripherals,3,2023-11-18 00:00:00,89.5,CUST-1028,India,268.5
INV-100100,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-01-12 00:00:00,39.99,,United States,39.99
INV-100101,SKU-106,USB-C Multiport Adapter,Accessories,1,2024-02-28 00:00:00,34.5,CUST-1154,Canada,34.5
INV-100102,SKU-106,USB-C Multiport Adapter,Accessories,2,2023-03-14 00:00:00,34.5,CUST-1104,United Kingdom,69.0
INV-100103,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-07-20 00:00:00,59.99,CUST-1051,United States,59.99
INV-100104,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2024-06-05 00:00:00,89.5,CUST-1069,Canada,89.5
INV-100105,SKU-105,Smart Fitness Tracker Band,Wearables,4,2024-05-19 00:00:00,59.99,CUST-1256,United States,239.96
INV-100106,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-02-08 00:00:00,149.99,CUST-1121,Germany,149.99
INV-100107,SKU-103,Mechanical Gaming Keyboard,Peripherals,4,2023-03-01 00:00:00,89.5,CUST-1218,United States,358.0
INV-100108,SKU-104,Stainless Steel Water Bottle,Lifestyle,2,2023-11-17 00:00:00,24.99,CUST-1270,France,49.98
INV-100109,SKU-105,Smart Fitness Tracker Band,Wearables,2,2024-03-10 00:00:00,59.99,CUST-1390,United States,119.98
INV-100110,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-02-12 00:00:00,49.99,CUST-1025,United States,49.99
INV-100111,SKU-109,Laptop Stand Aluminum,Accessories,1,2024-01-21 00:00:00,39.99,CUST-1441,United States,39.99
INV-100112,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-03-19 00:00:00,24.99,CUST-1360,France,24.99
INV-100113,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-07-13 00:00:00,89.5,CUST-1050,Germany,89.5
INV-100114,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-10-12 00:00:00,49.99,CUST-1469,Germany,49.99
INV-100115,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-06-10 00:00:00,149.99,CUST-1475,United Kingdom,149.99
INV-100116,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-06-07 00:00:00,49.99,CUST-1034,United Kingdom,49.99
INV-100117,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-06-05 00:00:00,34.5,CUST-1154,United States,34.5
INV-100118,SKU-107,Organic Cotton Throw Blanket,Home,2,2023-12-06 00:00:00,45.0,CUST-1444,United Kingdom,90.0
INV-100119,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-05-05 00:00:00,49.99,CUST-1412,United States,49.99
INV-100120,SKU-108,Portable Espresso Maker,Kitchen,1,2023-10-07 00:00:00,79.99,CUST-1112,India,79.99
INV-100121,SKU-101,Wireless Noise-Canceling Headphones,Audio,2,2023-05-08 00:00:00,149.99,CUST-1121,Canada,299.98
INV-100122,SKU-104,Stainless Steel Water Bottle,Lifestyle,8,2023-11-10 00:00:00,24.99,CUST-1222,United States,199.92
INV-100123,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-11-28 00:00:00,59.99,CUST-1261,United States,59.99
INV-100124,SKU-102,Ergonomic Office Chair,Furniture,1,2023-05-30 00:00:00,229.0,CUST-1355,Canada,229.0
INV-100125,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-03-29 00:00:00,149.99,CUST-1220,United States,149.99
INV-100126,SKU-108,Portable Espresso Maker,Kitchen,4,2023-02-05 00:00:00,79.99,CUST-1257,United States,319.96
INV-100127,SKU-106,USB-C Multiport Adapter,Accessories,2,2024-02-24 00:00:00,34.5,CUST-1412,United States,69.0
INV-100128,SKU-105,Smart Fitness Tracker Band,Wearables,2,2023-01-22 00:00:00,59.99,CUST-1023,United Kingdom,119.98
INV-100129,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-07-25 00:00:00,39.99,CUST-1143,Canada,39.99
INV-100130,SKU-102,Ergonomic Office Chair,Furniture,1,2023-12-22 00:00:00,229.0,CUST-1396,United States,229.0
INV-100131,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2024-03-15 00:00:00,49.99,CUST-1475,United States,49.99
INV-100132,SKU-108,Portable Espresso Maker,Kitchen,2,2023-04-06 00:00:00,79.99,CUST-1273,United Kingdom,159.98
INV-100133,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,2,2023-06-13 00:00:00,49.99,CUST-1287,Germany,99.98
INV-100134,SKU-109,Laptop Stand Aluminum,Accessories,8,2023-05-28 00:00:00,39.99,CUST-1055,United States,319.92
INV-100135,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-06-13 00:00:00,149.99,CUST-1249,United States,149.99
INV-100136,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-10-21 00:00:00,45.0,CUST-1288,France,45.0
INV-100137,SKU-108,Portable Espresso Maker,Kitchen,1,2023-07-14 00:00:00,79.99,CUST-1140,France,79.99
INV-100138,SKU-103,Mechanical Gaming Keyboard,Peripherals,2,2024-04-24 00:00:00,89.5,CUST-1154,India,179.0
INV-100139,SKU-104,Stainless Steel Water Bottle,Lifestyle,2,2023-05-03 00:00:00,24.99,CUST-1226,Canada,49.98
INV-100140,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2024-02-04 00:00:00,89.5,CUST-1011,United States,89.5
INV-100141,SKU-107,Organic Cotton Throw Blanket,Home,1,2024-03-27 00:00:00,45.0,CUST-1187,United States,45.0
INV-100142,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-04-14 00:00:00,39.99,CUST-1126,United States,39.99
INV-100143,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2024-04-06 00:00:00,89.5,CUST-1191,United States,89.5
INV-100144,SKU-106,USB-C Multiport Adapter,Accessories,3,2024-01-31 00:00:00,34.5,CUST-1069,France,103.5
INV-100145,SKU-108,Portable Espresso Maker,Kitchen,1,2023-12-03 00:00:00,79.99,CUST-1473,Canada,79.99
INV-100146,SKU-106,USB-C Multiport Adapter,Accessories,2,2023-05-22 00:00:00,34.5,CUST-1325,Germany,69.0
INV-100147,SKU-102,Ergonomic Office Chair,Furniture,1,2023-11-13 00:00:00,229.0,CUST-1390,United States,229.0
INV-100148,SKU-107,Organic Cotton Throw Blanket,Home,2,2024-06-10 00:00:00,45.0,CUST-1441,Australia,90.0
INV-100149,SKU-102,Ergonomic Office Chair,Furniture,1,2024-02-05 00:00:00,229.0,CUST-1266,Canada,229.0
INV-100150,SKU-102,Ergonomic Office Chair,Furniture,3,2023-11-06 00:00:00,229.0,CUST-1050,United States,687.0
INV-100151,SKU-102,Ergonomic Office Chair,Furniture,1,2024-05-09 00:00:00,229.0,CUST-1294,Australia,229.0
INV-100152,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-04-19 00:00:00,149.99,CUST-1324,United States,149.99
INV-100153,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-01-07 00:00:00,149.99,CUST-1411,United States,149.99
INV-100154,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-07-25 00:00:00,45.0,CUST-1247,Germany,45.0
INV-100155,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-02-12 00:00:00,59.99,CUST-1069,Germany,59.99
INV-100156,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-09-02 00:00:00,89.5,CUST-1157,United States,89.5
INV-100157,SKU-101,Wireless Noise-Canceling Headphones,Audio,8,2023-10-14 00:00:00,149.99,CUST-1217,United States,1199.92
INV-100158,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-12-21 00:00:00,49.99,,India,49.99
INV-100159,SKU-106,USB-C Multiport Adapter,Accessories,2,2024-04-20 00:00:00,34.5,CUST-1313,Germany,69.0
INV-100160,SKU-101,Wireless Noise-Canceling Headphones,Audio,10,2023-03-24 00:00:00,149.99,CUST-1210,Germany,1499.9
INV-100161,SKU-109,Laptop Stand Aluminum,Accessories,1,2023-04-20 00:00:00,39.99,CUST-1499,United States,39.99
INV-100162,SKU-102,Ergonomic Office Chair,Furniture,2,2023-07-09 00:00:00,229.0,CUST-1340,United States,458.0
INV-100163,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-09-08 00:00:00,149.99,CUST-1139,United States,149.99
INV-100164,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-10-18 00:00:00,45.0,CUST-1054,United States,45.0
INV-100165,SKU-106,USB-C Multiport Adapter,Accessories,1,2023-07-20 00:00:00,34.5,CUST-1081,United States,34.5
INV-100166,SKU-106,USB-C Multiport Adapter,Accessories,5,2023-11-22 00:00:00,34.5,CUST-1140,United States,172.5
INV-100167,SKU-105,Smart Fitness Tracker Band,Wearables,1,2024-05-25 00:00:00,59.99,CUST-1088,United Kingdom,59.99
INV-100168,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2024-02-13 00:00:00,24.99,CUST-1112,United States,24.99
INV-100169,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2024-05-22 00:00:00,24.99,CUST-1159,Canada,24.99
INV-100170,SKU-103,Mechanical Gaming Keyboard,Peripherals,3,2023-03-13 00:00:00,89.5,CUST-1104,United States,268.5
INV-100171,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-09-04 00:00:00,49.99,CUST-1475,United Kingdom,49.99
INV-100172,SKU-108,Portable Espresso Maker,Kitchen,2,2023-12-10 00:00:00,79.99,CUST-1050,United States,159.98
INV-100173,SKU-107,Organic Cotton Throw Blanket,Home,2,2023-02-23 00:00:00,45.0,CUST-1279,United Kingdom,90.0
INV-100174,SKU-109,Laptop Stand Aluminum,Accessories,2,2024-06-11 00:00:00,39.99,CUST-1241,United States,79.98
INV-100175,SKU-101,Wireless Noise-Canceling Headphones,Audio,5,2024-06-15 00:00:00,149.99,CUST-1499,India,749.95
INV-100176,SKU-107,Organic Cotton Throw Blanket,Home,3,2023-07-12 00:00:00,45.0,CUST-1063,Canada,135.0
INV-100177,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-02-27 00:00:00,49.99,CUST-1238,United Kingdom,49.99
INV-100178,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2024-03-12 00:00:00,24.99,CUST-1498,United States,24.99
INV-100179,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-04-21 00:00:00,45.0,CUST-1467,United Kingdom,45.0
INV-100180,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-05-09 00:00:00,149.99,CUST-1446,Canada,149.99
INV-100181,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-11-22 00:00:00,59.99,CUST-1150,United States,59.99
INV-100182,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-01-08 00:00:00,89.5,CUST-1101,United Kingdom,89.5
INV-100183,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-01-29 00:00:00,59.99,CUST-1384,Canada,59.99
INV-100184,SKU-104,Stainless Steel Water Bottle,Lifestyle,8,2023-04-22 00:00:00,24.99,CUST-1478,Canada,199.92
INV-100185,SKU-102,Ergonomic Office Chair,Furniture,1,2023-05-11 00:00:00,229.0,CUST-1305,Canada,229.0
INV-100186,SKU-104,Stainless Steel Water Bottle,Lifestyle,4,2023-07-07 00:00:00,24.99,CUST-1313,Australia,99.96
INV-100187,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2024-04-19 00:00:00,89.5,CUST-1154,France,89.5
INV-100188,SKU-101,Wireless Noise-Canceling Headphones,Audio,2,2023-12-30 00:00:00,149.99,CUST-1427,United States,299.98
INV-100189,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,3,2023-07-23 00:00:00,49.99,CUST-1112,United Kingdom,149.97
INV-100190,SKU-108,Portable Espresso Maker,Kitchen,1,2023-07-31 00:00:00,79.99,CUST-1190,Canada,79.99
INV-100191,SKU-105,Smart Fitness Tracker Band,Wearables,1,2023-10-03 00:00:00,59.99,CUST-1245,Germany,59.99
INV-100192,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-03-14 00:00:00,24.99,CUST-1272,India,24.99
INV-100193,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-08-31 00:00:00,49.99,CUST-1140,United States,49.99
INV-100194,SKU-105,Smart Fitness Tracker Band,Wearables,4,2023-04-12 00:00:00,59.99,CUST-1067,United States,239.96
INV-100195,SKU-104,Stainless Steel Water Bottle,Lifestyle,3,2023-06-20 00:00:00,24.99,CUST-1348,United States,74.97
INV-100196,SKU-103,Mechanical Gaming Keyboard,Peripherals,1,2023-07-07 00:00:00,89.5,CUST-1162,United States,89.5
INV-100197,SKU-105,Smart Fitness Tracker Band,Wearables,1,2024-03-16 00:00:00,59.99,CUST-1321,United States,59.99
INV-100198,SKU-104,Stainless Steel Water Bottle,Lifestyle,1,2023-03-27 00:00:00,24.99,CUST-1086,Germany,24.99
INV-100199,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-04-20 00:00:00,149.99,CUST-1261,United States,149.99
INV-100200,SKU-103,Mechanical Gaming Keyboard,Peripherals,2,2023-02-21 00:00:00,89.5,CUST-1288,Germany,179.0
INV-100201,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-04-21 00:00:00,49.99,CUST-1034,Germany,49.99
INV-100202,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-02-12 00:00:00,49.99,CUST-1197,United States,49.99
INV-100203,SKU-108,Portable Espresso Maker,Kitchen,1,2023-07-30 00:00:00,79.99,CUST-1069,United States,79.99
INV-100204,SKU-107,Organic Cotton Throw Blanket,Home,1,2023-07-19 00:00:00,45.0,CUST-1035,United Kingdom,45.0
INV-100205,SKU-102,Ergonomic Office Chair,Furniture,2,2023-01-26 00:00:00,229.0,CUST-1499,Canada,458.0
INV-100206,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2023-10-26 00:00:00,149.99,CUST-1187,Australia,149.99
INV-100207,SKU-103,Mechanical Gaming Keyboard,Peripherals,8,2023-03-18 00:00:00,89.5,CUST-1445,Australia,716.0
INV-100208,SKU-105,Smart Fitness Tracker Band,Wearables,3,2023-05-17 00:00:00,59.99,CUST-1147,France,179.97
INV-100209,SKU-110,LED Desk Lamp with Wireless Charging,Lighting,1,2023-01-20 00:00:00,49.99,CUST-1390,United Kingdom,49.99
INV-100210,SKU-101,Wireless Noise-Canceling Headphones,Audio,1,2024-03-15 00:00:00,149.99,CUST-1418,Australia,149.99
INV-100211,SKU-103,Mechanical Gaming Keyboard,Peripherals,3,2023-07-30 00:00:00,89.5,CUST-1327,Canada,268.5
